Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
"Fladsåskolen, afd. Korskilde",3.6356964194,3.7218944396,3.908602129,3.7218944396,3.5087297419,6.8093650794,63.0
"Fladsåskolen, afd. Mogenstrup",3.5849249391,3.7064500127,3.8792301168,3.7064500127,3.2177298173,6.9937394958,476.0
Flakkebjerg Efterskole,,,,,,7.7456048387,248.0
Flemming Efterskole,,,,,,7.6967594937,395.0
Fløng Skole,3.6077268231,3.6965712077,3.7471153846,3.6965712077,3.2947248577,7.2154339623,265.0
Fonden Ørting,,,,,,,0.0
Forberedelsesskolen,,,,,,8.4444927536,276.0
Forlev Friskole,,,,,,7.5104026846,149.0
Forældreskolen Aarhus,,,,,,8.8358718331,671.0
Fourfeldtskolen Bohr,3.7292109332,3.8518455167,3.8352017937,3.8518455167,3.2615733543,7.1157328386,539.0
Fredensborg Skole,3.91985816,3.76056106,3.799,3.76056106,3.370456704,8.1400286123,699.0
Fredericia Friskole,,,,,,6.4161904762,63.0
Fredericia Realskole,,,,,,8.1027991886,493.0
Frederik Barfods Skole,,,,,,8.3701257862,159.0
Frederiks Skole,3.5111491244,3.5543075446,3.67592592,3.5543075446,3.1155772063,6.8778743961,207.0
Frederiksberg Privatskole,,,,,,8.6742605634,568.0
Frederiksberg Skole,3.5792909647,3.7093361519,3.8180485678,3.7093361519,3.1782033418,7.9689115646,441.0
Frederiksbjerg Skole,3.722980851,3.7655517701,3.9104575157,3.7655517701,3.2222657292,7.6976965265,547.0
Frederiksborg Byskole,3.4511510278,3.8023206338,3.6107549786,3.8023206338,3.1257271047,8.0398751734,721.0
Frederikssund Private Realskole,,,,,,8.4640630473,571.0
Frederiksværk Skole,3.6120595372,3.6567765145,3.793732781,3.6567765145,3.2350350041,6.4970037453,267.0
"Frederiksværk skole, Enghave",,,,,,6.3063013699,219.0
Freds Skole,,,,,,6.7847540984,61.0
Freinet-Skolen,,,,,,7.6911510791,139.0
Frejlev Skole,3.6771816735,3.7196320206,3.8281862706,3.7196320206,3.1880668118,7.7001023018,391.0
Frijsenborg Efterskole,,,,,,6.6223622047,254.0
Frijsendal Friskole,,,,,,6.5077011494,87.0
Frisholm Skole,3.5718256298,3.5935647088,3.7100893946,3.5935647088,3.0697131648,7.4379220779,308.0
Friskolen - Bylderup Bov,,,,,,6.78225,40.0
Friskolen  Østerlund,,,,,,7.1037398374,123.0
Friskolen i Bramming,,,,,,6.11375,40.0
Friskolen i Hinnerup,,,,,,8.0646808511,94.0
Friskolen i Starreklinte,,,,,,4.6649056604,53.0
Friskolen i Viborg,,,,,,8.0218115942,138.0
Friskolen og Idrætsefterskolen Ubby,,,,,,5.938988764,267.0
Friskolen Skallerup,,,,,,6.8266129032,62.0
Friskolen Vellev,,,,,,,0.0
Friskolen Øster Egesborg,,,,,,7.8817808219,146.0
Friskolen Østerlars,,,,,,7.2684210526,76.0
Frydenhøjskolen,3.5803265316,3.6660233683,4.0058200984,3.6660233683,3.421352807,6.7122619048,420.0
Frøbjerg-Orte Friskole,,,,,,8.0482550336,149.0
Frøslevlejrens Efterskole,,,,,,6.6175968992,258.0
Frøstruphave Efterskole,,,,,,7.6525165563,453.0
Fuglsanggårdsskolen,3.608520453,3.8784197337,3.8159054471,3.8784197337,3.3236943398,8.6519556452,496.0
"Funder-Kragelund Skole, Afdeling Funder",,,,,,7.388313253,166.0
"Funder-Kragelund Skole, Silkeborg",3.5519914946,3.6876388267,3.6407942166,3.6876388267,3.0081309639,7.73,126.0
Fyns Privatskole,,,,,,4.864,10.0
Fynshav Børneunivers,3.6146011778,3.5620537556,3.7,3.5620537556,3.3816013636,6.675,16.0
Fælleshåbsskolen,3.5750951262,3.5631780063,3.7822326918,3.5631780063,3.0959414969,7.2510555556,360.0
Fællesskolen Favrdal-Fjelstrup,3.6670244073,3.6946646857,3.8102706015,3.6946646857,3.0916706397,7.5866336634,808.0
Fænøsund Friskole,,,,,,7.9373728814,118.0
Faaborg Sundskole,,,,,,6.2992715232,151.0
Faaborgegnens Efterskole,,,,,,7.2738888889,162.0
Fårevejle Fri-  og Efterskole,,,,,,7.6420512821,117.0
Fårevejle Fri- og Efterskole,,,,,,7.2989711934,243.0
Fårevejle Skole,3.6107610065,3.5043538105,3.6233766234,3.5043538105,3.1520094481,6.1736394558,294.0
Fårup Skole og Børneby,3.5894103333,3.5501918381,3.6153846154,3.5501918381,3.1911692039,6.6439705882,204.0
Fårvang Skole,3.6323029848,3.5827312551,3.869289335,3.5827312551,3.1945850305,6.8990379747,395.0
Gadstrup Skole,3.5779783864,3.54235979,3.6716589862,3.54235979,3.131061211,7.3159385666,293.0
Galten Friskole,,,,,,4.31,7.0
Galtrup Efterskole,,,,,,4.8635678392,199.0
Gammelgaardsskolen,3.6219187688,3.825482929,3.8743252308,3.825482929,3.2239109409,8.1112413793,580.0
Gandrup Skole,3.6777257918,3.5503004204,3.6847677582,3.5503004204,3.1143144694,6.9299206349,252.0
Ganløse Skole,3.5140229152,3.7113315333,3.7655155135,3.7113315333,3.0684573595,7.7785910653,582.0
Gasværksvejens Skole,3.4162605533,3.6843277951,3.5290300533,3.6843277951,2.9896950943,8.0209574468,282.0
Gedved Skole,3.7363686565,3.7321627957,3.8566229956,3.7321627957,3.2535034192,7.3778109453,201.0
Gentofte Kommunes Ungdomsskole,,,,,,6.6016666667,18.0
Gentofte Skole,3.5531972176,3.7984568425,3.5693296584,3.7984568425,2.9918898729,8.4898830409,513.0
Gerbrandskolen,3.5964525657,3.7260979641,3.7998007888,3.7260979641,3.292694832,7.115890411,73.0
Gideonskolen,,,,,,9.1278125,96.0
Giersings Realskole,,,,,,8.4643585237,569.0
Gilbjergskolen,3.6297632348,3.707291666,3.6588388767,3.707291666,3.1479960489,7.1090415335,626.0
Gildbroskolen,3.5159872622,3.6221324,3.6561771399,3.6221324,3.3101353697,5.6616296296,270.0
Gimsing Skole,,,,,,6.7081118881,143.0
Gislev Friskole,,,,,,6.7871428571,56.0
"Gislinge Skole, område Katrinedal",3.4806969726,3.5316364932,3.6643835616,3.5316364932,3.043443863,6.0194117647,34.0
Gistrup Skole,3.7164043845,3.8328147668,3.9373684189,3.8328147668,3.2219193747,7.9744789762,547.0
Gjellerupskolen,,,,,,8.1250841751,297.0
Gjerrild Bønnerup Friskole,,,,,,6.7547777778,90.0
Gl Hasseris Skole,3.6712552325,3.834041594,3.8677083325,3.834041594,3.18682103,7.9587820513,468.0
Gl Lindholm Skole,3.5260824137,3.6225021343,3.7668650714,3.6225021343,3.2043311777,6.8151864407,295.0
Gladsaxe Privatskole,,,,,,7.2418439716,141.0
Gladsaxe Skole,3.5250737444,3.6428396124,3.6711142303,3.6428396124,3.1492819606,7.1924390244,451.0
Glamsbjerg Fri- og Efterskole,,,,,,6.6823756906,181.0
Glamsbjerg Fri-og Efterskole,,,,,,7.2347305389,167.0
Glamsbjergskolen,3.5356112602,3.5530926134,3.5842626989,3.5530926134,3.0372539888,7.1707906977,430.0
Glamsdalens Idrætsefterskole,,,,,,6.7150442478,339.0
"Glostrup skole, Nordvang",3.4457991646,3.6510410535,3.6162551399,3.6510410535,3.223671343,6.8892436975,357.0
"Glostrup Skole, Skovvang",3.5390890848,3.6946124787,3.7675438526,3.6946124787,3.204525894,6.7618149466,281.0
"Glostrup skole, Søndervang",3.5498927925,3.6125210694,3.6761603354,3.6125210694,3.1709883726,7.0053133515,367.0
"Glostrup Skole, Vestervang",3.425929188,3.5990037155,3.5669515641,3.5990037155,3.2534571739,6.55953125,192.0
Gludsted Friskole,,,,,,5.3976923077,13.0
Gram Efterskole,,,,,,4.3842038217,157.0
Gram Skole,3.5390382747,3.5656388736,3.6753662967,3.5656388736,3.2432753297,5.9540677966,177.0
Gredstedbro Skole Vadehav,3.6950635108,3.6440554317,3.7919664245,3.6440554317,3.2101743022,6.5951181102,127.0
Gregers Krabbe Friskolen,,,,,,6.2388,50.0
Grejs Friskole,,,,,,8.2090526316,95.0
Grejsdalens Efterskole,,,,,,6.4914427861,201.0
Greve Privatskole,,,,,,8.6423573201,403.0
Gribskolen,3.4915572911,3.5401750788,3.5824742199,3.5401750788,3.0721049418,6.9151515152,330.0
Gribskov Efterskole,,,,,,6.9314341085,258.0
Gribskov Lilleskole,,,,,,6.96,61.0
Grindsted Privatskole,,,,,,7.308018018,111.0
Grindsted Vestre Skole,3.6046728992,3.671093366,3.7169689093,3.671093366,3.2275840725,6.9205811138,413.0
Grydemoseskolen,3.7163295432,3.8062308889,3.737654321,3.8062308889,3.454967284,7.5631052632,190.0
Grænseegnens Friskole,,,,,,6.84,36.0
Grønbjerg Friskole,,,,,,7.3768421053,57.0
Grøndalsvængets Skole,3.5964705124,3.6224128458,3.6467661692,3.6224128458,3.1244250945,6.6256989247,279.0
Grønhøjskolen,3.5741229444,3.5240203333,3.7877532155,3.5240203333,3.2417455889,6.2463291139,237.0
Grønnemose Skole,3.6683216381,3.7947376088,3.8087633071,3.7947376088,3.3260379656,7.6876807229,664.0
Grønnevang skole,3.5342403468,3.6465434131,3.6771235444,3.6465434131,3.1664774255,7.5962757528,631.0
Grønvangskolen,3.8684482748,3.8120040421,3.9888613861,3.8120040421,3.4013432946,7.3872801876,853.0
Gråsten Skole,3.6470513179,3.7116742893,3.8970238071,3.7116742893,3.2807301147,7.2679166667,456.0
Gudenaadalens Efterskole,,,,,,7.445,252.0
Gudenådalens Friskole,,,,,,6.5953333333,75.0
Gudenåskolen,,,,,,7.5048026316,152.0
Gudumholm Skole,3.7171780901,3.7441432523,3.9091591532,3.7441432523,3.2370125455,7.1733974359,156.0
Gug Skole,3.769761225,3.8353414635,3.8626736104,3.8353414635,3.2135511625,7.766144,625.0
Guldberg Skole,3.4783096743,3.6822091968,3.8084094292,3.6822091968,3.1157269656,7.0317303823,497.0
Gungehusskolen,3.6112805709,3.7433000104,3.8579282396,3.7433000104,3.2324731389,6.5463820225,445.0
"GXU, Gladsaxe 10. Klasse og Ungdomsskole, ungdomsskoleafdelingen",,,,,,5.5686666667,15.0
Gylling Efterskole,,,,,,5.7148024316,329.0
Gymnastikefterskolen Stevns,,,,,,7.225443038,158.0
Gyvelhøjskolen,3.5468898131,3.6662749167,3.6886745786,3.6662749167,3.1567444537,7.3788192771,415.0
Gørding Skole Fortuna,3.731505212,3.6036692703,3.8743243189,3.6036692703,3.244720087,6.719877551,245.0
Gørlev Skole,3.366288633,3.3455692909,3.5166666636,3.3455692909,2.9938524,5.6858865248,141.0
"Gåsetårnskolen, Iselinge",3.6171029771,3.6260981735,3.7733485171,3.6260981735,3.0939707569,6.6582083739,1027.0
H. C. Andersen Skolen,3.7329598286,3.8061086403,3.8669064676,3.8061086403,3.4556478102,5.8997510373,241.0
Hadbjerg Skole,3.737124876,3.7253406938,3.7722007683,3.7253406938,3.2491750661,7.1296969697,231.0
Haderslev Kristne Friskole,,,,,,7.7798,150.0
Haderslev Realskole,,,,,,7.5428185907,667.0
Haderup Skole,3.7025821477,3.6523258864,3.7784090909,3.6523258864,3.1009195114,6.6332638889,144.0
Hadsten Skole,3.5547006244,3.7088051733,3.8379836295,3.7088051733,3.1901204855,7.8183717358,651.0
Hadsund Skole,3.8291037397,3.7792553436,3.8913881722,3.7792553436,3.4025396915,7.1815851272,511.0
Hadsundvejens Skole,,,,,,6.165,64.0
Hald Ege Fri- & Efterskole (efterskolen),,,,,,6.6458662614,329.0
Hald Ege Fri- & Efterskole (friskolen),,,,,,7.4522105263,190.0
Hald Ege Skole,3.7721064018,3.7977080122,3.7951070275,3.7977080122,3.2155195798,7.3793483709,399.0
Haldum-Hinnerup Skolen,3.7213050339,3.7402422571,3.8768832373,3.7402422571,3.2054071412,7.8698966408,387.0
Hals Skole,3.6934154145,3.701879,3.8860103575,3.701879,3.1564269378,6.7677304965,282.0
Halsnæs Lilleskole,,,,,,6.1707692308,13.0
Halstedhus Efterskole,,,,,,5.7413718412,277.0
Halvorsminde Efterskole og Halvor Fri Fagskole,,,,,,5.8695634921,252.0
Hammer Frie Privatskole,,,,,,8.4844736842,38.0
Hammershøj Skole,3.5895137593,3.6576637685,3.7530864167,3.6576637685,3.2271821204,6.4166942149,121.0
Hammerum Fri- og Efterskole,,,,,,6.6908368201,239.0
Hammerum Friskole,,,,,,7.6189830508,59.0
Hammerum Skole,,,,,,6.90265625,256.0
Han Herred Efterskole,,,,,,6.1807741935,155.0
Handbjerghus Efterskole,,,,,,4.2230769231,78.0
Hanebjerg Skole,3.6389381971,3.6417838925,3.8551373871,3.6417838925,3.1706915899,7.598547619,420.0
Hannæs-Østerild Skole,3.6565759939,3.6124435366,3.6554877988,3.6124435366,3.1463120122,6.7626394052,269.0
Hans Rømer Skolen,3.525879218,3.6055678957,3.3981042559,3.6055678957,3.0055665048,7.1075376884,199.0
"Hans Rømer Skolen, Afdeling Aaker",,,,,,6.9673410405,173.0
Hanssted Skole,3.5601695082,3.8127014492,3.8782894737,3.8127014492,3.2846252237,7.4850561798,356.0
Hanstholm Friskole,,,,,,4.88,3.0
Hanstholm Skole,3.8096090144,3.7139337698,3.7769784173,3.7139337698,3.3858337338,6.4342307692,156.0
Harboøre Skole og Børnecenter,3.8013543309,3.7497421799,3.9832134245,3.7497421799,3.4142507971,7.2996350365,137.0
Hardsyssel Efterskole,,,,,,6.2569230769,260.0
Hareskov Skole,3.7136479142,3.9144476732,3.987132348,3.9144476732,3.3223934054,8.7841482966,499.0
Hareskovens Lilleskole,,,,,,8.4340410959,146.0
Hasle Skole,3.4985141086,3.6975582039,3.765027318,3.6975582039,3.3013982805,6.8807692308,273.0
Haslev Privatskole,,,,,,7.394295082,305.0
Hastrupskolen,3.5697196594,3.8045687817,3.8387918428,3.8045687817,3.4354955284,6.9657611241,427.0
Haubro Landsbyskole - Himmerlands Friskole,,,,,,6.5992857143,42.0
Havbakkeskolen,3.582891526,3.6034098039,3.7169913377,3.6034098039,3.1533081753,7.2220361991,221.0
Havdrup Skole,3.5606495806,3.6937025269,3.8381123047,3.6937025269,3.1799584784,7.2554441261,349.0
Havndal Skole,3.5121406275,3.5129543922,3.6715686078,3.5129543922,3.2016801961,7.8289655172,29.0
Havregården Lille-Kost og Dagskole,,,,,,4.7983333333,54.0
Havrehedskolen,3.7146872551,3.7365819464,3.9243392992,3.7365819464,3.4002736266,8.1050961538,416.0
Hay Skolen,,,,,,7.6104109589,219.0
Hedegårdenes Skole,3.5649437711,3.766767603,3.881011607,3.766767603,3.222630525,7.6918771331,293.0
Hedegårdsskolen,,,,,,7.3509753695,1015.0
Hedehusene Skole,3.3920092588,3.6352450264,3.6113537074,3.6352450264,3.0988091096,6.8944528302,265.0
Hedelyskolen,3.5632315527,3.7048143774,3.762684981,3.7048143774,3.2554287622,6.7415416667,480.0
Hedemølle Efterskole,,,,,,7.4049582916,333.0
Hedensted Skole,3.772046163,3.8565247586,4.0746143461,3.8565247586,3.4086946137,7.5010590631,491.0
Heibergskolen,3.7831978077,3.8260531228,4.0259323986,3.8260531228,3.2168003803,8.5822510823,462.0
Hejnsvig Skole,3.343646425,3.3754255041,3.4361111,3.3754255041,2.8678567,6.232,120.0
Heldagsskolen Lærkeskolen,3.5179378125,3.2068445,3.671875,3.2068445,2.9157733125,,0.0
Helgenæs Naturefterskole,,,,,,5.2644805195,154.0
Hellebjerg Idrætsefterskole,,,,,,7.1898784195,329.0
Hellebækskolen,3.5716506862,3.7352399233,3.7423312822,3.7352399233,3.0806735692,7.7504448399,562.0
Hellerup Skole,3.6260422,3.7217504844,3.6611111067,3.7217504844,3.0843472915,8.1543516484,455.0
Hellested Friskole og Børnehus,,,,,,7.4547619048,84.0
Helms Skole,,,,,,8.5650617284,162.0
Helsinge Realskole,,,,,,8.6817683881,639.0
Helsingør Lille Skole,,,,,,7.5142857143,21.0
Helsingør Privatskole,,,,,,6.3226666667,45.0
Hendriksholm Skole,3.4583023902,3.6440970082,3.7331309028,3.6440970082,3.1439247366,7.0633680556,288.0
Henriette Hørlucks Skole,,,,,,8.7796398892,361.0
Herfølge Friskole,,,,,,7.5847191011,89.0
Herfølge Skole,3.6487911734,3.7505895524,3.7813765142,3.7505895524,3.1582992024,6.9808152174,368.0
Herlev byskole,3.4436652558,3.6747741199,3.7786686035,3.6747741199,3.2585696053,6.802616408,451.0
Herlev Privatskole,,,,,,9.3062365591,186.0
Herlufsholm Skole og Gods,,,,,,8.6912130638,643.0
Herningsholmskolen,3.767992443,3.8382675612,4.0352320608,3.8382675612,3.4590144733,7.5599426934,349.0
Herningvej Skole,3.567598137,3.6605206101,3.6857798119,3.6605206101,3.2134733641,6.3543555556,225.0
Herskindskolen,3.4944086754,3.5378473158,3.4473684123,3.5378473158,3.0299077281,7.0293292683,164.0
Herstedlund Skole,3.4585365531,3.5314939148,3.698148137,3.5314939148,3.1331741963,5.8801557632,321.0
Herstedvester Skole,3.3923037011,3.6193124778,3.7060185111,3.6193124778,3.1797915014,6.5478209459,592.0
Herstedøster Skole,3.5302231868,3.6937845424,3.6796099234,3.6937845424,3.2366876702,6.5590719697,528.0
Hestlund Efterskole,,,,,,6.913805668,247.0
Hillerød Lilleskole,,,,,,7.2365625,32.0
Hillerød Privatskole,,,,,,6.5944705882,85.0
Hillerød Vest Skolen,3.7679071419,3.7579459116,3.941756271,3.7579459116,3.3499378661,7.5480300752,665.0
Hillerødsholmskolen,3.5732106105,3.7056950801,3.7543738453,3.7056950801,3.2462505497,7.4475409836,549.0
Himmelbjergegnens Natur- og Idrætsefterskole,,,,,,7.463015873,189.0
Himmelev Skole,3.6949185055,3.9026721019,3.8888121547,3.9026721019,3.1596676942,8.1955102041,735.0
Himmerlands Ungdomsskole,,,,,,6.3761881188,202.0
Himmerlandscentrets Idrætsefterskole,,,,,,6.887251462,171.0
Hindholm Privatskole,,,,,,7.061547619,168.0
Hindsholms børn & unge,3.7632685886,3.7077475954,3.9185714229,3.7077475954,3.4523805257,7.605,208.0
Hirtshals undervisningssted,3.540231215,3.5188565102,3.6262711763,3.5188565102,3.1287324407,6.5957883369,463.0
Hjallerup Skole,3.6648618718,3.7410139657,3.9166666638,3.7410139657,3.3432865215,7.4725526316,380.0
Hjalleseskolen,3.545786792,3.7521759124,3.7363138577,3.7521759124,3.1503297956,7.1671666667,480.0
Hjemly Fri- og Idrætsefterskole,,,,,,7.425124283,523.0
Hjerting Skole Aura,3.8083701233,3.8953819651,3.9731903485,3.8953819651,3.3480143592,7.93305026,577.0
Hjordkær Skole,3.6074312746,3.7434276525,3.8867370845,3.7434276525,3.3750506,6.8318918919,185.0
Hjørring Friskole,,,,,,5.56,10.0
Hjørring Private Realskole,,,,,,8.0890249433,882.0
Hobro Friskole,,,,,,6.95546875,64.0
Hobro Søndre Skole og MF10,3.6541395395,3.5477125109,3.658014571,3.5477125109,3.0286034496,7.0974625144,867.0
Hobrovejens Skole,3.675150232,3.6931062155,4.0201465165,3.6931062155,3.3908177845,6.1035135135,111.0
Holbergskolen,,,,,,6.7066104294,652.0
Holbæk Private Realskole,,,,,,8.0327722772,303.0
Holluf Pile Skole,3.7207827212,3.7591986538,3.8723290577,3.7591986538,3.2663152147,7.2633700441,454.0
Holme Skole,3.5024239822,3.6564084214,3.724702378,3.6564084214,3.1166238813,7.7001977401,354.0
Holmeagerskolen,3.6582854807,3.8465083239,3.9502999126,3.8465083239,3.3413555556,7.6514942529,522.0
Holmebækskolen,3.5771406172,3.7150482297,3.8714285667,3.7150482297,3.2773065024,6.8403773585,212.0
Holmegårdskolen,,,,,,7.1835260116,173.0
Holmegaardskolen,3.5320198759,3.7362536919,3.7704124545,3.7362536919,3.2747602723,7.5601408451,71.0
"Holmegaardskolen, afd. Fensmark",,,,,,6.80160401,399.0
"Holmegaardskolen, afd. Toksværd",,,,,,6.7499082569,109.0
Holmegårdsskolen,3.4474747796,3.6093863836,3.6759868355,3.6093863836,2.9934480364,7.143583815,346.0
Hoptrup Efterskole,,,,,,7.7854237288,236.0
Hornbæk Skole,,,,,,7.3152812071,729.0
Horne Efterskole,,,,,,6.5633430233,344.0
Hornslet Skole,3.6683787212,3.7432330217,3.8064903846,3.7432330217,3.1953979471,7.5560122699,489.0
Hornum Skole,3.8980735424,3.8079189831,4.036723161,3.8079189831,3.5084741695,6.7399509804,204.0
"Horsens Byskole, folkeskoleafdeling",3.5350633536,3.5650380152,3.7090579674,3.5650380152,3.2407466915,5.9221374046,393.0
Horslunde Landsbyordning,3.3990199667,3.3199609326,3.6657303258,3.3199609326,3.0173885506,5.5442937853,177.0
Horslunde Realskole,,,,,,6.7285714286,119.0
Hotherskolen,3.5018964326,3.5919561157,3.7318672778,3.5919561157,3.1774242248,6.3512074303,323.0
Hou Maritime Idrætsefterskole,,,,,,7.1585581395,215.0
Houlkærskolen,3.6992156059,3.8135816139,4.0417783673,3.8135816139,3.4600595603,7.5710084034,357.0
"Hovedgård Skole, folkeskoleafdeling",3.5394441962,3.6823225123,3.7746575342,3.6823225123,3.2691124548,7.351957672,378.0
"Hovedstadens Privatskoler, Filipskolen",,,,,,7.6758119658,117.0
Hulvej Privatskole,,,,,,7.6252057245,559.0
Humlebæk Lille Skole,,,,,,7.6381896552,116.0
Humlebæk Skole,3.6777627436,3.8813980288,3.9046087878,3.8813980288,3.3456984871,8.1019057377,488.0
Humlehøj-Skolen,3.7543517766,3.8227336071,4.0736040609,3.8227336071,3.4387750918,6.7793638677,393.0
Hummeltofteskolen,3.7240517237,3.9193230617,3.8466739715,3.9193230617,3.2637620044,8.2949521989,523.0
Hunderupskolen,3.6951342465,3.9192459965,3.8861502324,3.9192459965,3.3415405106,8.1481086142,534.0
Hundested Skole,3.7358895516,3.6539791062,3.8438725412,3.6539791062,3.2198808843,6.6459288538,506.0
"Hundested Skole, Storebjerg",,,,,,5.9130769231,65.0
Hundige Lille Skole,,,,,,7.3285620915,153.0
Hurup Skole,3.7246625914,3.6398098329,3.7723342882,3.6398098329,3.173164121,6.9282851638,519.0
Husby Efterskole,,,,,,6.269047619,189.0
Husum Skole,3.6776259012,3.8702604862,3.9804526728,3.8702604862,3.5103885124,6.9012923077,325.0
Hvalsø Skole,3.5464625234,3.6775843012,3.7426470559,3.6775843012,3.2130140649,7.8329223744,438.0
Hvide Sande Skole,3.7095865505,3.6777969495,3.8068181768,3.6777969495,3.1789437677,7.1316580311,193.0
Hvidebækskolen,3.3536247444,3.3586045393,3.4824074056,3.3586045393,2.9596032235,5.6684453782,238.0
Hvidovre Privatskole,,,,,,7.7795081967,122.0
Hvilsom Friskole,,,,,,5.4777419355,31.0
Hvinningdalskolen,3.5898042088,3.7581171295,3.7616758214,3.7581171295,3.1704836226,7.8405846774,496.0
Hyldgårdsskolen,3.8411538032,3.9277970505,4.0554078005,3.9277970505,3.399072592,7.4224096386,332.0
Hyllehøjskolen,3.5802544176,3.6589190222,3.7522768634,3.6589190222,3.3974755355,7.2081818182,231.0
Hyltebjerg Skole,,,,,,7.9329694323,229.0
Hældagerskolen,3.7308030825,3.7728653282,3.9671391727,3.7728653282,3.2812219691,7.3803178484,409.0
Hærvejsskolen,3.7888756988,3.6044407301,3.6179549106,3.6044407301,3.1557999277,7.0445274725,455.0
Højbjerg Privatskole,,,,,,6.7269135802,81.0
Højbo Friskole,,,,,,7.4315873016,126.0
Højboskolen,3.5951855559,3.6832640927,3.6273885287,3.6832640927,3.0990151314,7.3365480427,281.0
Højby Friskole,,,,,,7.7897687861,173.0
Højby Skole,,,,,,6.5575083612,598.0
Højdevangens Skole,3.6769168876,3.6834561966,3.9117509354,3.6834561966,3.1216221348,7.2838724374,878.0
Høje Kolstrup Skole,3.5797813632,3.6529745319,3.7450354553,3.6529745319,3.1563351974,6.8298785425,247.0
Høje Taastrup Privatskole,,,,,,6.6119480519,77.0
Højelse Skole,3.5552966403,3.6338121007,3.5365707338,3.6338121007,3.1022263597,7.1230898876,178.0
Højene undervisningssted,3.5801549359,3.7233608974,3.7278346087,3.7233608974,3.2456283795,7.1580655738,610.0
Højer Design Efterskole og Højer Design Højskole,,,,,,6.1625730994,171.0
Højer Efterskole,,,,,,6.2738738739,222.0
Højmarkskolen,3.6086061855,3.5515740094,3.8041535174,3.5515740094,3.1713906246,6.4700688073,436.0
Højmeskolen,3.6040755385,3.6776484225,3.8615967343,3.6776484225,3.2665237324,6.710504386,456.0
Højslev Skole,3.5728496311,3.669603263,3.7918015081,3.669603263,3.1124377403,7.8408631579,475.0
Højvangskolen,,,,,,7.4221535893,599.0
"Højvangskolen, folkeskoleafdeling",3.5610994627,3.7286092275,3.9038142587,3.7286092275,3.1965261546,7.6459815242,433.0
Høng Efterskole,,,,,,6.2652061856,194.0
Høng Privatskole,,,,,,6.8523255814,129.0
Høng Skole,3.4927547803,3.4971718636,3.5792297955,3.4971718636,2.9952557235,6.3608793456,489.0
Hørby Efterskole,,,,,,6.1917682927,328.0
Hørsholm Lille Skole,,,,,,8.3363551402,107.0
Hørsholm Skole,3.7641976632,3.8456848642,3.8949086162,3.8456848642,3.3010066815,8.4699431818,528.0
Hørup Centralskole,3.5449975387,3.6777474241,3.7771739099,3.6777474241,3.1090264268,7.3209387755,490.0
Hørve Skole,3.3861370641,3.4033722821,3.6980519351,3.4033722821,3.171490026,5.9105714286,35.0
Høve Friskole,,,,,,6.9165217391,23.0
Haahrs Skole,,,,,,7.9916438356,365.0
Hårby Skole,3.738502267,3.6628214661,3.7752639502,3.6628214661,3.3205985928,7.1084345048,313.0
Hårslev Efterskole,,,,,,7.1336904762,168.0
Hårup Skole,3.7689848409,3.7373503864,3.9351325739,3.7373503864,3.294777733,7.2388832487,197.0
Ida Holsts Skole,,,,,,8.6754487179,156.0
Idestrup Privatskole,,,,,,6.6651048951,143.0
Idrætsefterskolen Grønsund,,,,,,6.8553956835,278.0
Idrætsefterskolen Lægården,,,,,,6.9039661017,295.0
Idrætsskolerne Ikast (efterskolen),,,,,,7.5723383085,402.0
Ikast Nordre Skole,3.4842581967,3.6029153454,3.6443894356,3.6029153454,3.1100184488,6.9069516729,269.0
Ikast Vestre Skole,,,,,,6.5168595041,242.0
Ikast Østre Skole,3.8463108846,3.7476933791,4.0386904725,3.7476933791,3.4297844738,6.6929512894,349.0
Ingrid Jespersens Gymnasieskole,,,,,,8.9697179788,851.0
Ingstrup Efterskole,,,,,,6.5084453782,238.0
Ingstrup Trivselsskole,,,,,,5.84,15.0
Institut Sankt Joseph,,,,,,8.5363882064,407.0
Interskolen,,,,,,9.4043554007,287.0
Iqbal International School,,,,,,6.80625,8.0
Iqra Privatskole,,,,,,7.4528409091,88.0
Ishøj Skole,3.7470964729,3.8090580391,3.8624031008,3.8090580391,3.2807304806,7.2033936652,221.0
Islev Skole,3.4540964827,3.5811378367,3.5540935614,3.5811378367,2.9335430118,6.9671933962,424.0
Issø-skolen,3.6470904758,3.647465323,3.7983038319,3.647465323,3.1930042168,6.898875502,249.0
Jakobskolen,,,,,,8.5127853881,219.0
Jejsing Friskole,,,,,,6.4227777778,18.0
Jelling Friskole,,,,,,7.0656097561,41.0
Jels Skole,3.6471708529,3.6710375907,3.9750351561,3.6710375907,3.2127381646,7.3589873418,237.0
Jersie Privatskole,,,,,,7.0254054054,37.0
Jerup Skole,,,,,,6.2625714286,35.0
Jinnah International School,,,,,,6.5382178218,101.0
Johannesskolen,,,,,,8.4812376682,1115.0
Juelsminde Skole,3.560477,3.6314652483,3.6812431221,3.6314652483,3.0047059333,6.9379343629,518.0
"Jyderup Skole, område Skovvejen",3.5747360489,3.540270462,3.8446557935,3.540270462,3.1509442174,6.6364685315,286.0
Jægerspris Skole,3.4809258755,3.5850008458,3.823651444,3.5850008458,3.2469171701,7.2308793456,489.0
Kalundborg Friskole,,,,,,7.1275496689,151.0
