Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Skipper Clement Skolen,,,,,,8.692424812,532.0
Skivehus Skole,3.6332135152,3.7104139758,3.7992424212,3.7104139758,3.1902016242,7.262970297,404.0
Skjern Kristne Friskole,,,,,,8.0108510638,188.0
Skjoldhøjskolen,3.4682382513,3.7204118586,3.7622164031,3.7204118586,3.1809264866,6.7472924188,277.0
Skolecenter Jetsmark,3.5142102333,3.634800408,3.78083333,3.634800408,3.2076440903,6.683,300.0
"Skolecenter Jetsmark, Kaas afdeling",,,,,,6.6479518072,83.0
Skolegades Skole,3.7401510837,3.8141682304,3.9930213448,3.8141682304,3.3431851429,6.9610954064,283.0
"Skolen for Gastronomi, Musik & Design",,,,,,6.2091525424,59.0
Skolen i Bymidten,3.7414502961,3.6517723568,3.6733576618,3.6517723568,3.0987363203,7.1001626016,492.0
Skolen i Midten,3.6867971493,3.57886425,3.8040201005,3.57886425,3.0288611015,6.643132969,549.0
Skolen i Sydhavnen,3.6571485923,3.7231343531,3.7636946364,3.7231343531,3.1543383868,7.4993333333,30.0
Skolen på Amagerbro,3.5345973913,3.6286597174,3.8193430657,3.6286597174,3.3608615985,5.9546402878,278.0
Skolen på Duevej,3.5154060909,3.7620583326,3.7742980475,3.7620583326,3.190092737,8.2204320988,486.0
Skolen på Herredsåsen,3.6345328162,3.6750830461,3.795186188,3.6750830461,3.0896541033,7.0128571429,700.0
Skolen på Islands Brygge,3.58866106,3.6881930079,3.7702738215,3.6881930079,3.1414546079,7.5746332737,559.0
Skolen på La Cours Vej,3.5873687877,3.8536102199,3.8425213641,3.8536102199,3.1540288846,7.6843947858,537.0
Skolen på Nyelandsvej,3.531438089,3.7297474399,3.7919520479,3.7297474399,3.1645716598,7.8165258216,426.0
Skolen på Slotsvænget,,,,,,5.6518181818,66.0
Skolen på Strandboulevarden,3.801230097,3.7401843515,3.9878787879,3.7401843515,3.4494079394,5.6554545455,22.0
Skolen på Sønderager,,,,,,8.0534564644,379.0
Skolen ved Bulowsvej,3.6057657795,3.8146092561,3.65234375,3.8146092561,3.149595692,7.96743083,506.0
Skolen ved Gurrevej,3.4547323935,3.5865973571,3.5573592922,3.5865973571,3.3327799226,6.4884146341,164.0
Skolen ved Havet,,,,,,7.9307142857,14.0
Skolen ved Kongevej,,,,,,7.1441025641,39.0
Skolen ved Rønnebær Allé,3.6827339849,3.6426489215,3.6495468278,3.6426489215,3.0344257021,7.1752878788,660.0
Skolen ved Sundet,3.6440024805,3.8728551831,3.8947368421,3.8728551831,3.2779662563,8.0165529623,557.0
Skolen ved Søerne,3.5154727147,3.7306976916,3.6848137479,3.7306976916,3.003738149,7.8186729858,422.0
